ec,contest,sido,gusigun,emd,gubun,candidates,votes,top1,top2,total
3,서울특별시,서울특별시,종로구,청운효자동,관내사전투표,더불어민주당 정원오|국민의힘 오세훈|개혁신당 김정철|여성의당 유지혜|정의당 권영국,1658|552|18|27|38,1658,552,2293
3,서울특별시,서울특별시,종로구,청운효자동,선거일투표,더불어민주당 정원오|국민의힘 오세훈|개혁신당 김정철|여성의당 유지혜|정의당 권영국,1471|2022|26|22|73,2022,1471,3614
3,서울특별시,서울특별시,종로구,사직동,관내사전투표,더불어민주당 정원오|국민의힘 오세훈|개혁신당 김정철|여성의당 유지혜|정의당 권영국,798|457|5|9|15,798,457,1284
3,서울특별시,서울특별시,종로구,사직동,선거일투표,더불어민주당 정원오|국민의힘 오세훈|개혁신당 김정철|여성의당 유지혜|정의당 권영국,897|1992|28|33|40,1992,897,2990
3,서울특별시,서울특별시,종로구,삼청동,관내사전투표,더불어민주당 정원오|국민의힘 오세훈|개혁신당 김정철|여성의당 유지혜|정의당 권영국,217|78|1|1|6,217,78,303
3,서울특별시,서울특별시,종로구,삼청동,선거일투표,더불어민주당 정원오|국민의힘 오세훈|개혁신당 김정철|여성의당 유지혜|정의당 권영국,250|475|4|3|7,475,250,739
3,서울특별시,서울특별시,종로구,부암동,관내사전투표,더불어민주당 정원오|국민의힘 오세훈|개혁신당 김정철|여성의당 유지혜|정의당 권영국,903|323|6|6|23,903,323,1261
3,서울특별시,서울특별시,종로구,부암동,선거일투표,더불어민주당 정원오|국민의힘 오세훈|개혁신당 김정철|여성의당 유지혜|정의당 권영국,1307|1741|23|20|45,1741,1307,3136
3,서울특별시,서울특별시,종로구,평창동,관내사전투표,더불어민주당 정원오|국민의힘 오세훈|개혁신당 김정철|여성의당 유지혜|정의당 권영국,1604|733|20|8|38,1604,733,2403
3,서울특별시,서울특별시,종로구,평창동,선거일투표,더불어민주당 정원오|국민의힘 오세훈|개혁신당 김정철|여성의당 유지혜|정의당 권영국,2021|3911|31|34|58,3911,2021,6055
3,서울특별시,서울특별시,종로구,무악동,관내사전투표,더불어민주당 정원오|국민의힘 오세훈|개혁신당 김정철|여성의당 유지혜|정의당 권영국,1076|477|9|9|22,1076,477,1593
3,서울특별시,서울특별시,종로구,무악동,선거일투표,더불어민주당 정원오|국민의힘 오세훈|개혁신당 김정철|여성의당 유지혜|정의당 권영국,986|1652|20|28|31,1652,986,2717
3,서울특별시,서울특별시,종로구,교남동,관내사전투표,더불어민주당 정원오|국민의힘 오세훈|개혁신당 김정철|여성의당 유지혜|정의당 권영국,1178|535|13|8|33,1178,535,1767
3,서울특별시,서울특별시,종로구,교남동,선거일투표,더불어민주당 정원오|국민의힘 오세훈|개혁신당 김정철|여성의당 유지혜|정의당 권영국,1199|2172|26|25|45,2172,1199,3467
3,서울특별시,서울특별시,종로구,가회동,관내사전투표,더불어민주당 정원오|국민의힘 오세훈|개혁신당 김정철|여성의당 유지혜|정의당 권영국,556|193|1|4|7,556,193,761
3,서울특별시,서울특별시,종로구,가회동,선거일투표,더불어민주당 정원오|국민의힘 오세훈|개혁신당 김정철|여성의당 유지혜|정의당 권영국,449|643|14|9|12,643,449,1127
3,서울특별시,서울특별시,종로구,종로1·2·3·4가동,관내사전투표,더불어민주당 정원오|국민의힘 오세훈|개혁신당 김정철|여성의당 유지혜|정의당 권영국,574|316|8|4|11,574,316,913
3,서울특별시,서울특별시,종로구,종로1·2·3·4가동,선거일투표,더불어민주당 정원오|국민의힘 오세훈|개혁신당 김정철|여성의당 유지혜|정의당 권영국,641|1205|19|15|21,1205,641,1901
3,서울특별시,서울특별시,종로구,종로5·6가동,관내사전투표,더불어민주당 정원오|국민의힘 오세훈|개혁신당 김정철|여성의당 유지혜|정의당 권영국,519|233|3|1|4,519,233,760
3,서울특별시,서울특별시,종로구,종로5·6가동,선거일투표,더불어민주당 정원오|국민의힘 오세훈|개혁신당 김정철|여성의당 유지혜|정의당 권영국,573|996|15|18|19,996,573,1621
3,서울특별시,서울특별시,종로구,이화동,관내사전투표,더불어민주당 정원오|국민의힘 오세훈|개혁신당 김정철|여성의당 유지혜|정의당 권영국,879|349|8|12|24,879,349,1272
3,서울특별시,서울특별시,종로구,이화동,선거일투표,더불어민주당 정원오|국민의힘 오세훈|개혁신당 김정철|여성의당 유지혜|정의당 권영국,964|1245|21|33|37,1245,964,2300
3,서울특별시,서울특별시,종로구,혜화동,관내사전투표,더불어민주당 정원오|국민의힘 오세훈|개혁신당 김정철|여성의당 유지혜|정의당 권영국,1954|824|42|36|60,1954,824,2916
3,서울특별시,서울특별시,종로구,혜화동,선거일투표,더불어민주당 정원오|국민의힘 오세훈|개혁신당 김정철|여성의당 유지혜|정의당 권영국,2079|2993|69|93|96,2993,2079,5330
3,서울특별시,서울특별시,종로구,창신제1동,관내사전투표,더불어민주당 정원오|국민의힘 오세훈|개혁신당 김정철|여성의당 유지혜|정의당 권영국,1022|385|6|8|13,1022,385,1434
3,서울특별시,서울특별시,종로구,창신제1동,선거일투표,더불어민주당 정원오|국민의힘 오세훈|개혁신당 김정철|여성의당 유지혜|정의당 권영국,570|798|10|8|9,798,570,1395
3,서울특별시,서울특별시,종로구,창신제2동,관내사전투표,더불어민주당 정원오|국민의힘 오세훈|개혁신당 김정철|여성의당 유지혜|정의당 권영국,1006|362|2|5|11,1006,362,1386
